group_of_standard,Углерод,Кремний,Марганец,Сера,Фосфор,Хром,Никель,Медь,Алюминий,Титан,Ванадий,Ниобий,Молибден,Бор,Кальций,Цинк,Олово,Мышьяк,Железо,Азот,C_EKV,K_SVAR,номер раската
1,0.07,0.27,1.62,0.003,0.009,0.05,0.15,0.13,0.041,0.02,0.003,0.047,0.003,0.0005,0.00187,0.0012,0.0028,0.0029,97.557,0.004,0.37,0.17,1
1,0.08,0.28,1.61,0.002,0.013,0.05,0.2,0.15,0.042,0.022,0.005,0.05,0.019,0.0005,0.00184,0.0012,0.0027,0.0035,97.4558,0.005,0.39,0.19,1
1,0.08,0.3,1.64,0.002,0.009,0.04,0.18,0.13,0.039,0.02,0.005,0.052,0.01,0.0006,0.00152,0.0011,0.0031,0.0037,97.456,0.005,0.38,0.19,1
0,0.07,0.24,1.72,0.003,0.009,0.05,0.16,0.13,0.036,0.022,0.004,0.048,0.004,0.0005,0.002,0.0013,0.0032,0.0031,97.4269,0.004,0.39,0.18,1
0,0.0625,0.2073,1.7336,0.0018,0.0078,0.0453,0.1622,0.1197,0.0351,0.0202,0.0033,0.046,0.0023,0.0004,0.0028,0.0011,0.0029,0.0027,97.4697,0.0047,0.38,0.17,7
0,0.0625,0.2073,1.7336,0.0018,0.0078,0.0453,0.1622,0.1197,0.0351,0.0202,0.0033,0.046,0.0023,0.0004,0.0028,0.0011,0.0029,0.0027,97.4697,0.0047,0.38,0.17,6
0,0.07,0.25,1.73,0.002,0.011,0.06,0.18,0.14,0.033,0.023,0.003,0.048,0.006,0.0005,0.002,0.0009,0.0034,0.0034,97.3597,0.004,0.39,0.18,9
0,0.07,0.25,1.73,0.002,0.011,0.06,0.18,0.14,0.033,0.023,0.003,0.048,0.006,0.0005,0.002,0.0009,0.0034,0.0034,97.3597,0.004,0.39,0.18,14
0,0.07,0.24,1.76,0.001,0.006,0.04,0.16,0.12,0.035,0.021,0.004,0.049,0.004,0.0005,0.002,0.0008,0.0038,0.0026,97.4687,0.004,0.39,0.18,5
0,0.07,0.24,1.76,0.001,0.006,0.04,0.16,0.12,0.035,0.021,0.004,0.049,0.004,0.0005,0.002,0.0008,0.0038,0.0026,97.4687,0.004,0.39,0.18,4
0,0.07,0.25,1.74,0.003,0.009,0.06,0.18,0.15,0.038,0.021,0.004,0.051,0.005,0.0005,0.002,0.001,0.0036,0.0039,97.338,0.004,0.4,0.18,6
0,0.07,0.25,1.74,0.003,0.009,0.06,0.18,0.15,0.038,0.021,0.004,0.051,0.005,0.0005,0.002,0.001,0.0036,0.0039,97.338,0.004,0.4,0.18,7
0,0.06,0.24,1.74,0.002,0.013,0.04,0.17,0.13,0.031,0.02,0.007,0.053,0.004,0.0005,0.002,0.0019,0.0034,0.0049,97.4536,0.005,0.38,0.17,11
0,0.06,0.24,1.74,0.002,0.013,0.04,0.17,0.13,0.031,0.02,0.007,0.053,0.004,0.0005,0.002,0.0019,0.0034,0.0049,97.4536,0.005,0.38,0.17,10
0,0.07,0.24,1.73,0.003,0.009,0.04,0.17,0.13,0.038,0.02,0.004,0.053,0.004,0.0005,0.002,0.0008,0.0032,0.0031,97.4012,0.005,0.39,0.18,3
0,0.07,0.24,1.73,0.003,0.009,0.04,0.17,0.13,0.038,0.02,0.004,0.053,0.004,0.0005,0.002,0.0008,0.0032,0.0031,97.4012,0.005,0.39,0.18,2
0,0.07,0.23,1.74,0.002,0.013,0.05,0.16,0.12,0.038,0.021,0.007,0.048,0.003,0.0005,0.003,0.0011,0.0028,0.003,97.4127,0.005,0.39,0.18,10
0,0.07,0.23,1.74,0.002,0.013,0.05,0.16,0.12,0.038,0.021,0.007,0.048,0.003,0.0005,0.003,0.0011,0.0028,0.003,97.4127,0.005,0.39,0.18,16
0,0.06,0.22,1.76,0.003,0.017,0.06,0.17,0.1,0.034,0.019,0.01,0.051,0.005,0.0005,0.002,0.0019,0.0039,0.003,97.4007,0.006,0.39,0.17,5
0,0.06,0.22,1.76,0.003,0.017,0.06,0.17,0.1,0.034,0.019,0.01,0.051,0.005,0.0005,0.002,0.0019,0.0039,0.003,97.4007,0.006,0.39,0.17,4
0,0.06,0.22,1.76,0.003,0.017,0.06,0.17,0.1,0.034,0.019,0.01,0.051,0.005,0.0005,0.002,0.0019,0.0039,0.003,97.4007,0.006,0.39,0.17,15
0,0.06,0.22,1.76,0.003,0.017,0.06,0.17,0.1,0.034,0.019,0.01,0.051,0.005,0.0005,0.002,0.0019,0.0039,0.003,97.4007,0.006,0.39,0.17,13
0,0.07,0.26,1.76,0.002,0.01,0.05,0.18,0.14,0.03,0.019,0.005,0.05,0.005,0.0006,0.002,0.0013,0.0041,0.0039,97.3947,0.004,0.4,0.18,9
0,0.07,0.26,1.76,0.002,0.01,0.05,0.18,0.14,0.03,0.019,0.005,0.05,0.005,0.0006,0.002,0.0013,0.0041,0.0039,97.3947,0.004,0.4,0.18,11
0,0.08,0.26,1.76,0.001,0.009,0.05,0.17,0.15,0.035,0.02,0.005,0.05,0.004,0.0005,0.002,0.0017,0.0045,0.0033,97.3755,0.005,0.41,0.19,15
0,0.08,0.26,1.76,0.001,0.009,0.05,0.17,0.15,0.035,0.02,0.005,0.05,0.004,0.0005,0.002,0.0017,0.0045,0.0033,97.3755,0.005,0.41,0.19,11
0,0.07,0.24,1.74,0.002,0.008,0.04,0.15,0.11,0.032,0.02,0.004,0.05,0.003,0.0005,0.002,0.0013,0.0028,0.0025,97.5002,0.007,0.39,0.18,2
0,0.07,0.24,1.74,0.002,0.008,0.04,0.15,0.11,0.032,0.02,0.004,0.05,0.003,0.0005,0.002,0.0013,0.0028,0.0025,97.5002,0.007,0.39,0.18,3
0,0.08,0.29,1.71,0.003,0.01,0.04,0.17,0.12,0.036,0.021,0.005,0.052,0.004,0.0005,0.002,0.0012,0.003,0.0026,97.4296,0.004,0.39,0.19,3
0,0.08,0.29,1.71,0.003,0.01,0.04,0.17,0.12,0.036,0.021,0.005,0.052,0.004,0.0005,0.002,0.0012,0.003,0.0026,97.4296,0.004,0.39,0.19,4
0,0.07,0.23,1.75,0.002,0.01,0.05,0.17,0.16,0.037,0.022,0.005,0.056,0.005,0.0005,0.001,0.0013,0.0046,0.0032,97.3914,0.005,0.4,0.18,7
0,0.07,0.23,1.75,0.002,0.01,0.05,0.17,0.16,0.037,0.022,0.005,0.056,0.005,0.0005,0.001,0.0013,0.0046,0.0032,97.3914,0.005,0.4,0.18,11
0,0.0668,0.2288,1.7433,0.0021,0.0086,0.0451,0.1714,0.1356,0.0371,0.0215,0.0049,0.0505,0.0057,0.0005,0.00203,0.0008,0.0029,0.0025,97.4046,0.0034,0.39,0.18,5
0,0.0668,0.2288,1.7433,0.0021,0.0086,0.0451,0.1714,0.1356,0.0371,0.0215,0.0049,0.0505,0.0057,0.0005,0.00203,0.0008,0.0029,0.0025,97.4046,0.0034,0.39,0.18,11
3,0.07,0.24,1.72,0.003,0.01,0.04,0.17,0.14,0.034,0.017,0.005,0.049,0.004,0.0004,0.003,0.0012,0.004,0.0035,97.4626,0.005,0.39,0.18,6
3,0.07,0.24,1.72,0.003,0.01,0.04,0.17,0.14,0.034,0.017,0.005,0.049,0.004,0.0004,0.003,0.0012,0.004,0.0035,97.4626,0.005,0.39,0.18,14
3,0.06,0.26,1.7,0.003,0.006,0.03,0.19,0.16,0.04,0.021,0.002,0.049,0.005,0.0005,0.002,0.0007,0.0045,0.0027,97.3904,0.004,0.37,0.17,5
3,0.06,0.26,1.7,0.003,0.006,0.03,0.19,0.16,0.04,0.021,0.002,0.049,0.005,0.0005,0.002,0.0007,0.0045,0.0027,97.3904,0.004,0.37,0.17,4
3,0.07,0.23,1.7,0.002,0.009,0.03,0.22,0.15,0.04,0.02,0.004,0.048,0.005,0.0004,0.003,0.0009,0.0034,0.0028,97.4406,0.004,0.39,0.18,7
3,0.07,0.23,1.7,0.002,0.009,0.03,0.22,0.15,0.04,0.02,0.004,0.048,0.005,0.0004,0.003,0.0009,0.0034,0.0028,97.4406,0.004,0.39,0.18,13
3,0.07,0.26,1.74,0.002,0.008,0.03,0.2,0.15,0.036,0.02,0.004,0.046,0.004,0.0004,0.002,0.0015,0.0036,0.0029,97.398,0.005,0.39,0.18,4
3,0.07,0.26,1.74,0.002,0.008,0.03,0.2,0.15,0.036,0.02,0.004,0.046,0.004,0.0004,0.002,0.0015,0.0036,0.0029,97.398,0.005,0.39,0.18,5
3,0.06,0.22,1.71,0.002,0.007,0.03,0.18,0.14,0.038,0.023,0.004,0.048,0.003,0.0004,0.002,0.0009,0.0036,0.0032,97.4487,0.006,0.37,0.16,2
3,0.06,0.22,1.71,0.002,0.007,0.03,0.18,0.14,0.038,0.023,0.004,0.048,0.003,0.0004,0.002,0.0009,0.0036,0.0032,97.4487,0.006,0.37,0.16,1
3,0.08,0.24,1.71,0.002,0.006,0.04,0.19,0.14,0.036,0.022,0.003,0.051,0.004,0.0006,0.001,0.0006,0.0036,0.0024,97.4094,0.005,0.4,0.19,5
3,0.08,0.24,1.71,0.002,0.006,0.04,0.19,0.14,0.036,0.022,0.003,0.051,0.004,0.0006,0.001,0.0006,0.0036,0.0024,97.4094,0.005,0.4,0.19,8
3,0.07,0.26,1.71,0.003,0.009,0.04,0.19,0.15,0.037,0.024,0.005,0.051,0.004,0.0006,0.002,0.0007,0.005,0.003,97.3645,0.005,0.39,0.18,4
3,0.07,0.26,1.71,0.003,0.009,0.04,0.19,0.15,0.037,0.024,0.005,0.051,0.004,0.0006,0.002,0.0007,0.005,0.003,97.3645,0.005,0.39,0.18,3
3,0.07,0.27,1.74,0.002,0.008,0.03,0.16,0.13,0.038,0.018,0.004,0.048,0.004,0.0005,0.002,0.0011,0.0034,0.0029,97.4438,0.005,0.39,0.18,10
3,0.07,0.27,1.74,0.002,0.008,0.03,0.16,0.13,0.038,0.018,0.004,0.048,0.004,0.0005,0.002,0.0011,0.0034,0.0029,97.4438,0.005,0.39,0.18,7
0,0.065,0.2109,1.7156,0.0027,0.0086,0.0401,0.1631,0.1257,0.0379,0.0215,0.0034,0.0503,0.0037,0.0005,0.00176,0.0011,0.0031,0.0026,97.468,0.0044,0.39,0.18,10
0,0.065,0.2109,1.7156,0.0027,0.0086,0.0401,0.1631,0.1257,0.0379,0.0215,0.0034,0.0503,0.0037,0.0005,0.00176,0.0011,0.0031,0.0026,97.468,0.0044,0.39,0.18,9
0,0.06,0.26,1.73,0.002,0.01,0.03,0.16,0.12,0.032,0.021,0.006,0.051,0.003,0.0005,0.002,0.0021,0.0031,0.003,97.4838,0.004,0.37,0.17,12
0,0.06,0.26,1.73,0.002,0.01,0.03,0.16,0.12,0.032,0.021,0.006,0.051,0.003,0.0005,0.002,0.0021,0.0031,0.003,97.4838,0.004,0.37,0.17,8
0,0.07,0.23,1.74,0.002,0.008,0.03,0.17,0.13,0.033,0.022,0.005,0.054,0.003,0.0005,0.001,0.0011,0.003,0.0026,97.4381,0.004,0.39,0.18,6
0,0.07,0.23,1.74,0.002,0.008,0.03,0.17,0.13,0.033,0.022,0.005,0.054,0.003,0.0005,0.001,0.0011,0.003,0.0026,97.4381,0.004,0.39,0.18,11
0,0.0672,0.2332,1.7353,0.0018,0.0101,0.0424,0.158,0.1148,0.0304,0.0219,0.0063,0.0492,0.0032,0.0005,0.00128,0.0011,0.0033,0.0029,97.4999,0.0045,0.39,0.18,5
0,0.0672,0.2332,1.7353,0.0018,0.0101,0.0424,0.158,0.1148,0.0304,0.0219,0.0063,0.0492,0.0032,0.0005,0.00128,0.0011,0.0033,0.0029,97.4999,0.0045,0.39,0.18,14
0,0.06,0.25,1.71,0.003,0.012,0.05,0.18,0.13,0.035,0.019,0.004,0.052,0.003,0.0005,0.001,0.0011,0.0031,0.003,97.4642,0.005,0.38,0.17,10
0,0.06,0.25,1.71,0.003,0.012,0.05,0.18,0.13,0.035,0.019,0.004,0.052,0.003,0.0005,0.001,0.0011,0.0031,0.003,97.4642,0.005,0.38,0.17,11
3,0.07,0.24,1.71,0.002,0.009,0.04,0.16,0.12,0.036,0.019,0.003,0.049,0.004,0.0005,0.002,0.0015,0.0031,0.0018,97.5074,0.006,0.38,0.18,6
3,0.07,0.24,1.71,0.002,0.009,0.04,0.16,0.12,0.036,0.019,0.003,0.049,0.004,0.0005,0.002,0.0015,0.0031,0.0018,97.5074,0.006,0.38,0.18,3
3,0.07,0.25,1.7,0.002,0.008,0.04,0.17,0.13,0.036,0.023,0.003,0.049,0.004,0.0005,0.001,0.0012,0.0037,0.0025,97.4841,0.005,0.38,0.18,14
3,0.07,0.25,1.7,0.002,0.008,0.04,0.17,0.13,0.036,0.023,0.003,0.049,0.004,0.0005,0.001,0.0012,0.0037,0.0025,97.4841,0.005,0.38,0.18,12
3,0.07,0.27,1.73,0.003,0.009,0.04,0.18,0.16,0.037,0.022,0.003,0.051,0.004,0.0005,0.002,0.001,0.0053,0.0039,97.3932,0.004,0.39,0.18,16
3,0.07,0.27,1.73,0.003,0.009,0.04,0.18,0.16,0.037,0.022,0.003,0.051,0.004,0.0005,0.002,0.001,0.0053,0.0039,97.3932,0.004,0.39,0.18,12
3,0.0649,0.2407,1.7128,0.0025,0.0079,0.0434,0.1778,0.147,0.036,0.0224,0.003,0.0492,0.006,0.0005,0.00165,0.001,0.0051,0.0047,97.3853,0.0047,0.38,0.17,2
