РВСВ_0,РВСВ_1,РВСВ_2,РВСВ_3,РВСН_0,РВСН_1,РВСН_2,РВСН_3,РВЛВ_0,РВЛВ_1,РВЛВ_2,РВЛВ_3,РВЛВ_4,РВЛВ_5,РВЛВ_6,РВЛВ_7,РВЛВ_8,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛВ_13,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_11,РВЛН_12,РВЛН_13,РВЛН_14
787.9284,787.9284,787.9284,787.9284,1329.889,1329.889,1329.889,1329.889,679.9395,0.0,679.9395,679.9395,679.9395,0.0,679.9395,679.9395,0.0,679.9395,0.0,0.0,0.0,1375.0,984.879,1375.0,1375.0,1375.0,984.879,1375.0,1375.0,984.879,1375.0,0.0,0.0,0.0,0.0,0.0
804.9395,804.9395,804.9395,804.9395,1357.989,1357.989,1357.989,1357.989,657.8881,0.0,657.8881,657.8881,657.8881,0.0,657.8881,657.8881,0.0,657.8881,0.0,0.0,0.0,1276.966,872.9839,1276.966,1276.966,1276.966,872.9839,1276.966,1276.966,872.9839,1276.966,0.0,0.0,0.0,0.0,0.0
810.9879,810.9879,810.9879,810.9879,1367.943,1367.943,1367.943,1367.943,637.9788,0.0,637.9788,637.9788,637.9788,0.0,637.9788,637.9788,0.0,637.9788,0.0,0.0,0.0,1295.993,685.9879,1295.993,1295.993,1295.993,685.9879,1295.993,1295.993,685.9879,1295.993,0.0,0.0,0.0,0.0,0.0
0.0,545.9929,0.0,545.9929,0.0,1091.986,0.0,1091.986,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,545.9929,545.9929,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,645.9174,1141.885,1141.885,0.0
0.0,545.9929,0.0,545.9929,0.0,1092.994,0.0,1092.994,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,0.0,545.9929,545.9929,545.9929,545.9929,1142.893,1142.893,646.9254,1142.893,1142.893,646.9254,1142.893,1142.893,646.9254,1142.893,1142.893,646.9254,1142.893,1142.893,0.0
0.0,549.8992,0.0,549.8992,0.0,1100.932,0.0,1100.932,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,549.8992,549.8992,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,0.0
0.0,549.8992,0.0,549.8992,0.0,1100.932,0.0,1100.932,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,549.8992,549.8992,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,649.9496,1150.958,1150.958,0.0
0.0,551.9153,0.0,551.9153,0.0,1103.957,0.0,1103.957,551.9153,551.9153,0.0,551.9153,551.9153,0.0,551.9153,551.9153,0.0,551.9153,551.9153,551.9153,551.9153,1153.982,1153.982,651.9657,1153.982,1153.982,651.9657,1153.982,1153.982,651.9657,1153.982,1153.982,651.9657,1153.982,1153.982,0.0
0.0,549.8992,0.0,549.8992,0.0,1099.924,0.0,1099.924,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,0.0,549.8992,549.8992,549.8992,549.8992,1149.95,1149.95,649.9496,1149.95,1149.95,649.9496,1149.95,1149.95,649.9496,1149.95,1149.95,649.9496,1149.95,1149.95,0.0
0.0,550.9072,0.0,550.9072,0.0,1102.949,0.0,1102.949,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,0.0,601.9405,601.9405,601.9405,601.9405,1293.977,1293.977,690.9022,1293.977,1293.977,690.9022,1293.977,1293.977,690.9022,1293.977,1293.977,690.9022,1293.977,1293.977,0.0
