213) Дата производства;122) Режим УО;РВСВ_0;РВСВ_1;РВСВ_2;РВСВ_3;РВСН_0;РВСН_1;РВСН_2;РВСН_3;РВЛВ_0;РВЛВ_1;РВЛВ_2;РВЛВ_3;РВЛВ_4;РВЛВ_5;РВЛВ_6;РВЛВ_7;РВЛВ_8;РВЛВ_9;РВЛВ_10;РВЛВ_12;РВЛВ_13;РВЛН_0;РВЛН_1;РВЛН_2;РВЛН_3;РВЛН_4;РВЛН_5;РВЛН_6;РВЛН_7;РВЛН_8;РВЛН_9;РВЛН_10;РВЛН_11;РВЛН_12;РВЛН_13;РВЛН_14
2020-10-20 17:24:39;Ламинарное и спрейерное;0.0;600.9324;0.0;600.9324;0.0;1202.999;0.0;1202.999;500.882;500.882;0.0;500.882;500.882;0.0;500.882;500.882;0.0;500.882;500.882;500.882;500.882;1202.999;1202.999;600.9324;1202.999;1202.999;600.9324;1202.999;1202.999;600.9324;1202.999;1202.999;600.9324;1202.999;1202.999;0.0
2020-10-20 08:01:44;Ламинарное и спрейерное;0.0;601.9405;0.0;601.9405;0.0;1203.881;0.0;1203.881;550.9072;550.9072;0.0;550.9072;550.9072;0.0;550.9072;550.9072;0.0;550.9072;550.9072;550.9072;550.9072;1228.957;1228.957;625.8821;1228.957;1228.957;625.8821;1228.957;1228.957;625.8821;1228.957;1228.957;625.8821;1228.957;1228.957;0.0
2020-10-19 16:40:23;Ламинарное и спрейерное;0.0;599.9244;0.0;599.9244;0.0;1199.975;0.0;1199.975;574.9748;574.9748;0.0;574.9748;574.9748;0.0;574.9748;574.9748;0.0;574.9748;574.9748;574.9748;574.9748;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;0.0
2020-10-19 18:54:54;Ламинарное и спрейерное;0.0;599.9244;0.0;599.9244;0.0;1199.975;0.0;1199.975;574.9748;574.9748;0.0;574.9748;574.9748;0.0;574.9748;574.9748;0.0;574.9748;574.9748;574.9748;574.9748;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;625.0;1224.924;1224.924;0.0
2021-03-21 02:05:55;Ламинарное и спрейерное;0.0;552.9234;0.0;552.9234;0.0;1105.973;0.0;1105.973;627.8982;627.8982;0.0;627.8982;627.8982;0.0;627.8982;627.8982;0.0;627.8982;627.8982;627.8982;627.8982;1387.979;1387.979;872.9839;1387.979;1387.979;872.9839;1387.979;1387.979;872.9839;1387.979;1387.979;872.9839;1387.979;1387.979;0.0
2021-03-19 15:32:15;Ламинарное и спрейерное;0.0;551.9153;0.0;551.9153;0.0;1103.957;0.0;1103.957;626.8901;626.8901;0.0;626.8901;626.8901;0.0;626.8901;626.8901;0.0;626.8901;626.8901;626.8901;626.8901;1375.882;1375.882;861.8951;1375.882;1375.882;861.8951;1375.882;1375.882;861.8951;1375.882;1375.882;861.8951;1375.882;1375.882;0.0
2020-10-19 08:22:01;Ламинарное и спрейерное;0.0;595.8922;0.0;595.8922;0.0;1192.918;0.0;1192.918;516.8851;516.8851;0.0;516.8851;516.8851;0.0;516.8851;516.8851;0.0;516.8851;516.8851;516.8851;516.8851;1233.997;1233.997;636.9708;1233.997;1233.997;636.9708;1233.997;1233.997;636.9708;1233.997;1233.997;636.9708;1233.997;1233.997;0.0
2020-10-19 00:43:20;Ламинарное и спрейерное;0.0;600.9324;0.0;600.9324;0.0;1202.999;0.0;1202.999;575.9828;575.9828;0.0;575.9828;575.9828;0.0;575.9828;575.9828;0.0;575.9828;575.9828;575.9828;575.9828;1227.949;1227.949;625.8821;1227.949;1227.949;625.8821;1227.949;1227.949;625.8821;1227.949;1227.949;625.8821;1227.949;1227.949;0.0
2021-03-19 20:56:50;Ламинарное и спрейерное;0.0;549.8992;0.0;549.8992;0.0;1099.924;0.0;1099.924;599.9244;599.9244;0.0;599.9244;599.9244;0.0;599.9244;599.9244;0.0;599.9244;599.9244;599.9244;599.9244;1389.995;1389.995;879.9143;1389.995;1389.995;879.9143;1389.995;1389.995;879.9143;1389.995;1389.995;879.9143;1389.995;1389.995;0.0
2021-03-19 14:22:47;Ламинарное и спрейерное;0.0;557.9637;0.0;557.9637;0.0;1116.935;0.0;1116.935;639.9949;639.9949;0.0;639.9949;639.9949;0.0;639.9949;639.9949;0.0;639.9949;639.9949;639.9949;639.9949;1269.909;1269.909;747.9839;1269.909;1269.909;747.9839;1269.909;1269.909;747.9839;1269.909;1269.909;747.9839;1269.909;1269.909;0.0
2021-03-19 14:21:09;Ламинарное и спрейерное;0.0;614.9194;0.0;614.9194;0.0;1229.965;0.0;1229.965;696.9506;696.9506;0.0;696.9506;696.9506;0.0;696.9506;696.9506;0.0;696.9506;696.9506;696.9506;696.9506;1435.988;1435.988;813.8861;1435.988;1435.988;813.8861;1435.988;1435.988;813.8861;1435.988;1435.988;813.8861;1435.988;1435.988;0.0
2021-03-19 17:42:24;Ламинарное и спрейерное;0.0;549.8992;0.0;549.8992;0.0;1100.932;0.0;1100.932;599.9244;599.9244;0.0;599.9244;599.9244;0.0;599.9244;599.9244;0.0;599.9244;599.9244;599.9244;599.9244;1400.958;1400.958;889.9949;1400.958;1400.958;889.9949;1400.958;1400.958;889.9949;1400.958;1400.958;889.9949;1400.958;1400.958;0.0
2021-03-19 17:34:32;Ламинарное и спрейерное;0.0;549.8992;0.0;549.8992;0.0;1100.932;0.0;1100.932;600.9324;600.9324;0.0;600.9324;600.9324;0.0;600.9324;600.9324;0.0;600.9324;600.9324;600.9324;600.9324;1401.966;1401.966;890.877;1401.966;1401.966;890.877;1401.966;1401.966;890.877;1401.966;1401.966;890.877;1401.966;1401.966;0.0
2021-03-20 01:57:33;Ламинарное и спрейерное;0.0;547.8831;0.0;547.8831;0.0;1095.892;0.0;1095.892;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;596.9002;596.9002;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;0.0
2021-03-20 01:50:14;Ламинарное и спрейерное;0.0;547.8831;0.0;547.8831;0.0;1095.892;0.0;1095.892;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;596.9002;596.9002;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;906.88;1413.937;1413.937;0.0
2020-10-18 15:06:51;Ламинарное и спрейерное;0.0;596.9002;0.0;596.9002;0.0;1193.926;0.0;1193.926;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;0.0;596.9002;596.9002;596.9002;596.9002;1243.952;1243.952;646.9254;1243.952;1243.952;646.9254;1243.952;1243.952;646.9254;1243.952;1243.952;646.9254;1243.952;1243.952;0.0
2020-10-18 17:06:24;Ламинарное и спрейерное;0.0;597.9083;0.0;597.9083;0.0;1195.943;0.0;1195.943;572.9587;572.9587;0.0;572.9587;572.9587;0.0;572.9587;572.9587;0.0;572.9587;572.9587;572.9587;572.9587;1220.892;1220.892;622.9839;1220.892;1220.892;622.9839;1220.892;1220.892;622.9839;1220.892;1220.892;622.9839;1220.892;1220.892;0.0
2020-10-18 23:52:22;Ламинарное и спрейерное;0.0;605.9728;0.0;605.9728;0.0;1211.946;0.0;1211.946;579.8891;579.8891;0.0;579.8891;579.8891;0.0;579.8891;579.8891;0.0;579.8891;579.8891;579.8891;579.8891;1236.895;1236.895;628.9063;1236.895;1236.895;628.9063;1236.895;1236.895;628.9063;1236.895;1236.895;628.9063;1236.895;1236.895;0.0
